
12-Monats-Pr‰valenz der selbstberichteten diagnostizierten Depression (Anteil der Befragten in Prozent). Gliederungsmerkmale: Jahre, Region, Alter, Geschlecht, Bildung
****************************************************************************************************

Diese Tabelle bezieht sich auf:
Jahr:;2014/2015
Region:;Deutschland
Depression:;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Ja&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Bildung:;Alle Bildungsgruppen
Pr‰valenz:;12-Monats-Pr‰valenz;"Alle Geschlechter";"M‰nnlich";"Weiblich";
"Alle Altersgruppen";"8,1";"6,3";"9,7";
"        18 bis unter 65 Jahre";"8,5";"6,7";"10,2";
"          18 bis unter 30 Jahre";"6,2";"4,3";"8,1";
"          30 bis unter 45 Jahre";"7,5";"5,7";"9,3";
"          45 bis unter 65 Jahre";"10,2";"8,5";"11,8";
"        65 Jahre und ‰lter";"6,7";"5,0";"8,0";

****************************************************************************************************
Fuﬂnoten
****************************************************************************************************


****************************************************************************************************
Die Tabelle wurde am 22.12.2020 11:26 Uhr unter www.gbe-bund.de erstellt.
****************************************************************************************************

Quelle(n):
GEDA, Robert Koch-Institut
